algorithm,n_clusters,silhouette,davies_bouldin,calinski_harabasz,noise_pct,min_cluster_size,max_cluster_size,balance_ratio,params
Agglomerative,3,0.37517744806810666,0.9593304137051616,2885.6425746401937,0.0,358,1606,0.22291407222914073,"k=3, linkage=ward"
Agglomerative,3,0.4590744216849905,0.888915673805982,1080.3157935083586,0.0,49,2933,0.016706443914081145,"k=3, linkage=complete"
Agglomerative,3,0.4800051861960212,0.5380334495506071,942.9434211528765,0.0,1,2970,0.0003367003367003367,"k=3, linkage=average"
Agglomerative,4,0.36624547407102437,0.9574930957264998,2560.0168997996357,0.0,358,1606,0.22291407222914073,"k=4, linkage=ward"
Agglomerative,4,0.4403086132319278,0.7453156604123136,725.389569042754,0.0,1,2933,0.00034094783498124785,"k=4, linkage=complete"
Agglomerative,4,0.46549704939910974,0.5897068463883894,643.9922273404901,0.0,1,2970,0.0003367003367003367,"k=4, linkage=average"
Agglomerative,5,0.3064839966812422,1.028102117330989,2490.721992672655,0.0,358,1024,0.349609375,"k=5, linkage=ward"
Agglomerative,5,0.31059933947328344,0.8987178511546592,1231.6346885955736,0.0,1,2016,0.000496031746031746,"k=5, linkage=complete"
Agglomerative,5,0.46242995819622085,0.5042884162589822,483.9536237593248,0.0,1,2970,0.0003367003367003367,"k=5, linkage=average"
Agglomerative,6,0.2845621637547664,1.1252764080049635,2298.4229322723663,0.0,276,1024,0.26953125,"k=6, linkage=ward"
Agglomerative,6,0.262717345276256,1.0504624843409276,1309.6614694907407,0.0,1,1323,0.0007558578987150416,"k=6, linkage=complete"
Agglomerative,6,0.3559278026496669,0.7473743943544325,868.9139750538275,0.0,1,2307,0.00043346337234503684,"k=6, linkage=average"
