algorithm,n_clusters,silhouette,davies_bouldin,calinski_harabasz,noise_pct,min_cluster_size,max_cluster_size,balance_ratio,params,valid_solution,largest_cluster_share,tiny_cluster_flag,dominant_cluster_flag,degenerate_structure_flag,ranking_score
DBSCAN,2,0.5902587131475816,0.30585525063075136,55.646423412451945,2.4554941682013505,5,3173,0.001575795776867318,"eps=1.0, min_samples=5",True,0.9739103744628607,True,True,True,59.398153095945666
Agglomerative,3,0.4800051861960212,0.5380334495506071,942.9434211528765,0.0,1,2970,0.0003367003367003367,"k=3, linkage=average",True,0.9116022099447514,True,True,True,49.47193385490946
Agglomerative,5,0.46242995819622085,0.5042884162589822,483.9536237593248,0.0,1,2970,0.0003367003367003367,"k=5, linkage=average",True,0.9116022099447514,True,True,True,47.385848423966465
Agglomerative,4,0.46549704939910974,0.5897068463883894,643.9922273404901,0.0,1,2970,0.0003367003367003367,"k=4, linkage=average",True,0.9116022099447514,True,True,True,47.12355824379885
DBSCAN,2,0.4693649642806596,0.7295873238151305,1406.08712300592,6.875383670963782,296,2738,0.10810810810810811,"eps=1.0, min_samples=15",True,0.8403928790669122,False,True,True,45.71159478902455
Agglomerative,3,0.4590744216849905,0.888915673805982,1080.3157935083586,0.0,49,2933,0.016706443914081145,"k=3, linkage=complete",True,0.9002455494168201,False,True,True,44.08775155589198
Agglomerative,4,0.4403086132319278,0.7453156604123136,725.389569042754,0.0,1,2933,0.00034094783498124785,"k=4, linkage=complete",True,0.9002455494168201,True,True,True,43.167495925630554
KMeans,4,0.39912015076546087,0.8776778629533397,2956.9454825862867,0.0,405,1269,0.3191489361702128,k=4,True,0.38950276243093923,False,False,False,40.72323134046644
DBSCAN,3,0.42307373990919056,0.6960651135318819,702.6521262594458,8.931860036832411,36,2703,0.013318534961154272,"eps=0.8, min_samples=10",True,0.8296500920810314,False,True,True,39.736634616393104
KMeans,3,0.37636590395505354,0.9347002326589061,3077.872147864818,0.0,454,1498,0.3030707610146863,k=3,True,0.4597912829957029,False,False,False,37.83726049713679
Agglomerative,3,0.37517744806810666,0.9593304137051616,2885.6425746401937,0.0,358,1606,0.22291407222914073,"k=3, linkage=ward",True,0.49294045426642114,False,False,False,37.006860397790696
Agglomerative,4,0.36624547407102437,0.9574930957264998,2560.0168997996357,0.0,358,1606,0.22291407222914073,"k=4, linkage=ward",True,0.49294045426642114,False,False,False,36.01234649606743
Agglomerative,6,0.3559278026496669,0.7473743943544325,868.9139750538275,0.0,1,2307,0.00043346337234503684,"k=6, linkage=average",True,0.7081031307550645,True,False,True,34.88959796579537
KMeans,5,0.33258399391649124,0.9311789875426678,2779.4086915190223,0.0,364,1020,0.3568627450980392,k=5,True,0.31307550644567217,False,False,False,33.66127644892999
KMeans,7,0.3310550246296687,0.9572895265425129,2641.325447481969,0.0,168,784,0.21428571428571427,k=7,True,0.24063842848373235,False,False,False,32.48345042870774
KMeans,6,0.33414913092384363,0.9768002582157197,2714.139836867472,0.0,170,980,0.17346938775510204,k=6,True,0.30079803560466545,False,False,False,32.42085618533625
DBSCAN,2,0.3409852920473272,0.652506364609938,19.77131023136971,0.7673419275629221,7,3226,0.0021698698078115313,"eps=1.4, min_samples=5",True,0.9901780233271946,True,True,True,30.426052144557744
Agglomerative,5,0.3064839966812422,1.028102117330989,2490.721992672655,0.0,358,1024,0.349609375,"k=5, linkage=ward",True,0.31430325352977284,False,False,False,29.936154683575715
Agglomerative,5,0.31059933947328344,0.8987178511546592,1231.6346885955736,0.0,1,2016,0.000496031746031746,"k=5, linkage=complete",True,0.6187845303867403,True,False,True,29.19214477526581
Agglomerative,6,0.2845621637547664,1.1252764080049635,2298.4229322723663,0.0,276,1024,0.26953125,"k=6, linkage=ward",True,0.31430325352977284,False,False,False,26.291522016851808
