feature,iqr_outlier_count,iqr_outlier_pct
FOODSTAMP_CrudePrev,240,7.366482504604051
ACCESS2_CrudePrev,218,6.69122160834868
LACKTRPT_CrudePrev,185,5.6783302639656235
CASTHMA_CrudePrev,171,5.248618784530387
SLEEP_CrudePrev,169,5.187231430325353
TEETHLOST_CrudePrev,159,4.881793061099171
DIABETES_CrudePrev,156,4.788213627992634
HOUSINSECU_CrudePrev,129,3.9594843462246776
STROKE_CrudePrev,114,3.4990791896869244
GHLTH_CrudePrev,82,2.516881522406384
CSMOKING_CrudePrev,75,2.3020257826887662
MHLTH_CrudePrev,71,2.1792510742786986
COPD_CrudePrev,58,1.780233271945979
CHECKUP_CrudePrev,55,1.6881522406384284
BPHIGH_CrudePrev,54,1.6574585635359116
LPA_CrudePrev,49,1.5039901780233271
EMOTIONSPT_CrudePrev,46,1.4119091467157765
PHLTH_CrudePrev,31,0.9515039901780233
CHD_CrudePrev,28,0.8594229588704727
OBESITY_CrudePrev,15,0.4604051565377532
