run,random_state,silhouette,davies_bouldin,calinski_harabasz,inertia
0,42,0.39912015076546087,0.8776778629533397,2956.9454825862867,16125.615481306537
1,43,0.39912015076546087,0.8776778629533397,2956.9454825862863,16125.615481306537
2,44,0.39912015076546087,0.8776778629533397,2956.9454825862863,16125.615481306537
3,45,0.39912015076546087,0.8776778629533397,2956.9454825862867,16125.598636912477
4,46,0.39912015076546087,0.8776778629533397,2956.9454825862863,16125.615481306537
5,47,0.39912015076546087,0.8776778629533397,2956.9454825862863,16125.615481306537
6,48,0.39912015076546087,0.8776778629533397,2956.9454825862863,16125.615481306537
7,49,0.39912015076546087,0.8776778629533397,2956.9454825862867,16125.615481306537
8,50,0.39912015076546087,0.8776778629533397,2956.9454825862863,16125.615481306537
9,51,0.39912015076546087,0.8776778629533397,2956.9454825862863,16125.615481306537
