column,dtype,missing_count,missing_pct
TEETHLOST_Crude95CI,str,1,0.03
TEETHLOST_CrudePrev,float64,1,0.03
ACCESS2_Crude95CI,str,0,0.0
ACCESS2_CrudePrev,float64,0,0.0
ARTHRITIS_Crude95CI,str,0,0.0
ARTHRITIS_CrudePrev,float64,0,0.0
BINGE_Crude95CI,str,0,0.0
BINGE_CrudePrev,float64,0,0.0
BPHIGH_Crude95CI,str,0,0.0
BPHIGH_CrudePrev,float64,0,0.0
BPMED_Crude95CI,str,0,0.0
BPMED_CrudePrev,float64,0,0.0
CANCER_Crude95CI,str,0,0.0
CANCER_CrudePrev,float64,0,0.0
CASTHMA_Crude95CI,str,0,0.0
CASTHMA_CrudePrev,float64,0,0.0
CHD_Crude95CI,str,0,0.0
CHD_CrudePrev,float64,0,0.0
CHECKUP_Crude95CI,str,0,0.0
CHECKUP_CrudePrev,float64,0,0.0
CHOLSCREEN_Crude95CI,str,0,0.0
CHOLSCREEN_CrudePrev,float64,0,0.0
COGNITION_Crude95CI,str,0,0.0
COGNITION_CrudePrev,float64,0,0.0
COLON_SCREEN_Crude95CI,str,0,0.0
COLON_SCREEN_CrudePrev,float64,0,0.0
COPD_Crude95CI,str,0,0.0
COPD_CrudePrev,float64,0,0.0
CSMOKING_Crude95CI,str,0,0.0
CSMOKING_CrudePrev,float64,0,0.0
