selected_column,measure_stem,measure_type
ACCESS2_CrudePrev,ACCESS2,CrudePrev
CHECKUP_CrudePrev,CHECKUP,CrudePrev
BPHIGH_CrudePrev,BPHIGH,CrudePrev
CASTHMA_CrudePrev,CASTHMA,CrudePrev
CHD_CrudePrev,CHD,CrudePrev
COPD_CrudePrev,COPD,CrudePrev
DIABETES_CrudePrev,DIABETES,CrudePrev
CSMOKING_CrudePrev,CSMOKING,CrudePrev
LPA_CrudePrev,LPA,CrudePrev
OBESITY_CrudePrev,OBESITY,CrudePrev
MHLTH_CrudePrev,MHLTH,CrudePrev
PHLTH_CrudePrev,PHLTH,CrudePrev
GHLTH_CrudePrev,GHLTH,CrudePrev
SLEEP_CrudePrev,SLEEP,CrudePrev
STROKE_CrudePrev,STROKE,CrudePrev
TEETHLOST_CrudePrev,TEETHLOST,CrudePrev
FOODSTAMP_CrudePrev,FOODSTAMP,CrudePrev
HOUSINSECU_CrudePrev,HOUSINSECU,CrudePrev
LACKTRPT_CrudePrev,LACKTRPT,CrudePrev
EMOTIONSPT_CrudePrev,EMOTIONSPT,CrudePrev
