feature_group,concept,selected_stem,selected_column
core_health,insurance_or_access,ACCESS2,ACCESS2_CrudePrev
core_health,routine_checkup,CHECKUP,CHECKUP_CrudePrev
core_health,high_blood_pressure,BPHIGH,BPHIGH_CrudePrev
core_health,asthma,CASTHMA,CASTHMA_CrudePrev
core_health,coronary_heart_disease,CHD,CHD_CrudePrev
core_health,copd,COPD,COPD_CrudePrev
core_health,diabetes,DIABETES,DIABETES_CrudePrev
core_health,smoking,CSMOKING,CSMOKING_CrudePrev
core_health,physical_inactivity,LPA,LPA_CrudePrev
core_health,obesity,OBESITY,OBESITY_CrudePrev
core_health,poor_mental_health,MHLTH,MHLTH_CrudePrev
core_health,poor_physical_health,PHLTH,PHLTH_CrudePrev
core_health,fair_or_poor_general_health,GHLTH,GHLTH_CrudePrev
core_health,insufficient_sleep,SLEEP,SLEEP_CrudePrev
core_health,stroke,STROKE,STROKE_CrudePrev
core_health,teeth_lost,TEETHLOST,TEETHLOST_CrudePrev
context,food_or_material_stress,FOODSTAMP,FOODSTAMP_CrudePrev
context,housing_or_utility_stress,HOUSINSECU,HOUSINSECU_CrudePrev
context,transport_barrier,LACKTRPT,LACKTRPT_CrudePrev
context,social_support,EMOTIONSPT,EMOTIONSPT_CrudePrev
